transaction_id,store_id,amount,risk_type,decision,priority,human_in_loop_required,approval_status,decision_reason
TXN-1001,1,277.55,Normal,No Action,Low,False,Auto-Approved,
TXN-1002,2,163.6,Normal,No Action,Low,False,Auto-Approved,
TXN-1003,9,277.87,Normal,No Action,Low,False,Auto-Approved,
TXN-1004,6,534.72,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1005,1,442.16,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1006,2,119.59,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1007,5,435.65,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1008,6,269.85,Normal,No Action,Low,False,Auto-Approved,
TXN-1009,5,246.97,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1010,1,415.28,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1011,6,506.43,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1012,9,268.63,Normal,No Action,Low,False,Auto-Approved,
TXN-1013,5,105.01,Normal,No Action,Low,False,Auto-Approved,
TXN-1014,3,475.49,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1015,9,285.13,Normal,No Action,Low,False,Auto-Approved,
TXN-1016,9,473.21,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1017,10,586.2,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1018,2,247.77,Normal,No Action,Low,False,Auto-Approved,
TXN-1019,9,329.0,Normal,No Action,Low,False,Auto-Approved,
TXN-1020,7,219.89,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1021,6,52.09,Normal,No Action,Low,False,Auto-Approved,
TXN-1022,8,62.72,Normal,No Action,Low,False,Auto-Approved,
TXN-1023,3,349.55,Normal,No Action,Low,False,Auto-Approved,
TXN-1024,2,512.44,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1025,6,465.8,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1026,6,122.53,Normal,No Action,Low,False,Auto-Approved,
TXN-1027,7,380.3,Normal,No Action,Low,False,Auto-Approved,
TXN-1028,7,163.74,Normal,No Action,Low,False,Auto-Approved,
TXN-1029,4,7.19,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1030,3,55.26,Normal,No Action,Low,False,Auto-Approved,
TXN-1031,2,114.67,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1032,9,64.53,Normal,No Action,Low,False,Auto-Approved,
TXN-1033,8,31.71,Normal,No Action,Low,False,Auto-Approved,
TXN-1034,9,186.49,Normal,No Action,Low,False,Auto-Approved,
TXN-1035,2,274.9,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1036,5,322.33,Normal,No Action,Low,False,Auto-Approved,
TXN-1037,4,291.76,Normal,No Action,Low,False,Auto-Approved,
TXN-1038,6,86.36,Normal,No Action,Low,False,Auto-Approved,
TXN-1039,9,50.31,Normal,No Action,Low,False,Auto-Approved,
TXN-1040,10,40.99,Normal,No Action,Low,False,Auto-Approved,
TXN-1041,7,144.94,Normal,No Action,Low,False,Auto-Approved,
TXN-1042,9,534.9,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1043,1,261.79,Normal,No Action,Low,False,Auto-Approved,
TXN-1044,5,78.77,Normal,No Action,Low,False,Auto-Approved,
TXN-1045,4,336.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1046,6,327.17,Normal,No Action,Low,False,Auto-Approved,
TXN-1047,2,386.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1048,2,463.74,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1049,6,119.9,Normal,No Action,Low,False,Auto-Approved,
TXN-1050,8,359.62,Normal,No Action,Low,False,Auto-Approved,
TXN-1051,10,295.68,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1052,4,39.54,Normal,No Action,Low,False,Auto-Approved,
TXN-1053,2,29.73,Normal,No Action,Low,False,Auto-Approved,
TXN-1054,6,267.81,Normal,No Action,Low,False,Auto-Approved,
TXN-1055,4,536.18,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1056,5,446.34,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1057,5,297.84,Normal,No Action,Low,False,Auto-Approved,
TXN-1058,9,169.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1059,2,208.32,Normal,No Action,Low,False,Auto-Approved,
TXN-1060,6,299.13,Duplicate Transaction,Flag for Investigation,High,True,Pending Approval,Duplicate transaction detected and requires manual review.
TXN-1061,3,175.13,Normal,No Action,Low,False,Auto-Approved,
TXN-1062,5,518.48,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1063,4,181.62,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1064,10,359.05,Normal,No Action,Low,False,Auto-Approved,
TXN-1065,5,366.04,Normal,No Action,Low,False,Auto-Approved,
TXN-1066,8,585.72,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1067,10,374.5,Normal,No Action,Low,False,Auto-Approved,
TXN-1068,10,99.28,Normal,No Action,Low,False,Auto-Approved,
TXN-1069,10,361.39,Normal,No Action,Low,False,Auto-Approved,
TXN-1070,8,303.25,Normal,No Action,Low,False,Auto-Approved,
TXN-1071,8,420.05,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1072,6,357.41,Normal,No Action,Low,False,Auto-Approved,
TXN-1073,9,271.23,Normal,No Action,Low,False,Auto-Approved,
TXN-1074,5,363.19,Normal,No Action,Low,False,Auto-Approved,
TXN-1075,3,219.24,Normal,No Action,Low,False,Auto-Approved,
TXN-1076,10,582.9,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1077,2,210.71,Normal,No Action,Low,False,Auto-Approved,
TXN-1078,3,256.26,Normal,No Action,Low,False,Auto-Approved,
TXN-1079,2,268.85,Normal,No Action,Low,False,Auto-Approved,
TXN-1080,6,236.6,Normal,No Action,Low,False,Auto-Approved,
TXN-1081,3,181.38,Normal,No Action,Low,False,Auto-Approved,
TXN-1082,7,570.72,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1083,5,531.92,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1084,1,431.09,Duplicate Transaction,Flag for Investigation,High,True,Pending Approval,Duplicate transaction detected and requires manual review.
TXN-1085,7,522.56,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1086,8,6.79,Normal,No Action,Low,False,Auto-Approved,
TXN-1087,10,155.53,Normal,No Action,Low,False,Auto-Approved,
TXN-1088,10,401.96,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1089,2,351.31,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1090,3,551.71,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1091,9,421.71,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1092,1,388.24,Normal,No Action,Low,False,Auto-Approved,
TXN-1093,7,381.75,Normal,No Action,Low,False,Auto-Approved,
TXN-1094,2,414.98,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1095,7,540.21,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1096,5,570.0,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1097,8,154.02,Refund Event,Compliance Review,Medium,True,Pending Approval,Refund must be verified against policy rules.
TXN-1098,8,412.0,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1099,1,467.45,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1100,4,411.94,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1101,7,336.91,Normal,No Action,Low,False,Auto-Approved,
TXN-1102,6,457.98,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1103,9,503.48,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1104,10,497.4,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1105,10,303.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1106,2,409.29,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1107,2,512.56,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1108,7,120.63,Normal,No Action,Low,False,Auto-Approved,
TXN-1109,4,283.82,Normal,No Action,Low,False,Auto-Approved,
TXN-1110,3,460.81,Duplicate Transaction,Flag for Investigation,High,True,Pending Approval,Duplicate transaction detected and requires manual review.
TXN-1111,6,31.13,Normal,No Action,Low,False,Auto-Approved,
TXN-1112,6,148.18,Normal,No Action,Low,False,Auto-Approved,
TXN-1113,6,253.0,Refund Event,Compliance Review,Medium,True,Pending Approval,Refund must be verified against policy rules.
TXN-1114,5,319.55,Normal,No Action,Low,False,Auto-Approved,
TXN-1115,2,501.63,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1116,6,312.97,Normal,No Action,Low,False,Auto-Approved,
TXN-1117,6,390.62,Normal,No Action,Low,False,Auto-Approved,
TXN-1118,6,218.62,Normal,No Action,Low,False,Auto-Approved,
TXN-1119,9,372.6,Normal,No Action,Low,False,Auto-Approved,
TXN-1120,7,558.07,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1121,10,443.56,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1122,1,217.76,Normal,No Action,Low,False,Auto-Approved,
TXN-1123,2,177.39,Normal,No Action,Low,False,Auto-Approved,
TXN-1124,9,201.2,Normal,No Action,Low,False,Auto-Approved,
TXN-1125,2,501.12,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1126,9,381.13,Normal,No Action,Low,False,Auto-Approved,
TXN-1127,3,49.51,Normal,No Action,Low,False,Auto-Approved,
TXN-1128,7,565.9,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1129,2,209.02,Refund Event,Compliance Review,Medium,True,Pending Approval,Refund must be verified against policy rules.
TXN-1130,2,23.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1131,7,207.78,Normal,No Action,Low,False,Auto-Approved,
TXN-1132,1,441.43,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1133,9,85.76,Normal,No Action,Low,False,Auto-Approved,
TXN-1134,8,173.95,Normal,No Action,Low,False,Auto-Approved,
TXN-1135,6,555.16,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1136,8,501.89,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1137,10,413.55,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1138,9,189.3,Normal,No Action,Low,False,Auto-Approved,
TXN-1139,3,342.05,Normal,No Action,Low,False,Auto-Approved,
TXN-1140,2,570.76,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1141,7,465.57,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1142,9,425.0,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1143,3,497.96,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1144,2,50.1,Normal,No Action,Low,False,Auto-Approved,
TXN-1145,8,519.94,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1146,2,201.57,Normal,No Action,Low,False,Auto-Approved,
TXN-1147,1,538.38,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1148,8,246.05,Normal,No Action,Low,False,Auto-Approved,
TXN-1149,5,73.62,Normal,No Action,Low,False,Auto-Approved,
TXN-1150,2,377.53,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
