transaction_id,store_id,amount,reason,status,reviewed_by
TXN-1004,6,534.72,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1005,1,442.16,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1007,5,435.65,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1010,1,415.28,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1011,6,506.43,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1014,3,475.49,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1016,9,473.21,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1017,10,586.2,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1024,2,512.44,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1025,6,465.8,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1042,9,534.9,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1048,2,463.74,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1055,4,536.18,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1056,5,446.34,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1060,6,299.13,Duplicate transaction detected and requires manual review.,Pending,Not Assigned
TXN-1062,5,518.48,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1066,8,585.72,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1071,8,420.05,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1076,10,582.9,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1082,7,570.72,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1083,5,531.92,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1084,1,431.09,Duplicate transaction detected and requires manual review.,Pending,Not Assigned
TXN-1085,7,522.56,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1088,10,401.96,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1090,3,551.71,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1091,9,421.71,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1094,2,414.98,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1095,7,540.21,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1096,5,570.0,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1097,8,154.02,Refund must be verified against policy rules.,Pending,Not Assigned
TXN-1098,8,412.0,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1099,1,467.45,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1100,4,411.94,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1102,6,457.98,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1103,9,503.48,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1104,10,497.4,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1106,2,409.29,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1107,2,512.56,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1110,3,460.81,Duplicate transaction detected and requires manual review.,Pending,Not Assigned
TXN-1113,6,253.0,Refund must be verified against policy rules.,Pending,Not Assigned
TXN-1115,2,501.63,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1120,7,558.07,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1121,10,443.56,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1125,2,501.12,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1128,7,565.9,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1129,2,209.02,Refund must be verified against policy rules.,Pending,Not Assigned
TXN-1132,1,441.43,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1135,6,555.16,High-value transaction requires managerial validation.,Pending,Not Assigned
TXN-1136,8,501.89,High-value transaction requires managerial validation.,Pending,Not Assigned
